time,latitude_deg,longitude_deg,height_m
151.62,51.0855,-114.134,1119.29
151.635,51.0855,-114.134,1119.29
151.65,51.0855,-114.134,1119.29
151.665,51.0855,-114.134,1119.29
151.68,51.0855,-114.134,1119.29
151.695,51.0855,-114.134,1119.29
151.71,51.0855,-114.134,1119.29
151.725,51.0855,-114.134,1119.29
151.74,51.0855,-114.134,1119.29
151.755,51.0855,-114.134,1119.29
151.77,51.0855,-114.134,1119.29
151.785,51.0855,-114.134,1119.29
151.8,51.0855,-114.134,1119.29
151.815,51.0855,-114.134,1119.29
151.83,51.0855,-114.134,1119.29
151.845,51.0855,-114.134,1119.29
151.86,51.0855,-114.134,1119.29
151.875,51.0855,-114.134,1119.29
151.89,51.0855,-114.134,1119.29
151.905,51.0855,-114.134,1119.29
151.92,51.0855,-114.134,1119.29
151.935,51.0855,-114.134,1119.29
151.95,51.0855,-114.134,1119.29
151.965,51.0855,-114.134,1119.29
151.98,51.0855,-114.134,1119.29
151.995,51.0855,-114.134,1119.29
152.01,51.0855,-114.134,1119.29
152.025,51.0855,-114.134,1119.29
152.04,51.0855,-114.134,1119.29
152.055,51.0855,-114.134,1119.29
152.07,51.0855,-114.134,1119.29
152.085,51.0855,-114.134,1119.29
152.1,51.0855,-114.134,1119.29
152.115,51.0855,-114.134,1119.29
152.13,51.0855,-114.134,1119.29
152.145,51.0855,-114.134,1119.29
152.16,51.0855,-114.134,1119.29
152.175,51.0855,-114.134,1119.29
152.19,51.0855,-114.134,1119.29
152.205,51.0855,-114.134,1119.29
152.22,51.0855,-114.134,1119.29
152.235,51.0855,-114.134,1119.29
152.25,51.0855,-114.134,1119.29
152.265,51.0855,-114.134,1119.29
152.28,51.0855,-114.134,1119.29
152.295,51.0855,-114.134,1119.29
152.31,51.0855,-114.134,1119.29
152.325,51.0855,-114.134,1119.29
152.34,51.0855,-114.134,1119.29
152.355,51.0855,-114.134,1119.29
152.37,51.0855,-114.134,1119.29
152.385,51.0855,-114.134,1119.29
152.4,51.0855,-114.134,1119.29
152.415,51.0855,-114.134,1119.29
152.43,51.0855,-114.134,1119.29
152.445,51.0855,-114.134,1119.29
152.46,51.0855,-114.134,1119.29
152.475,51.0856,-114.134,1119.3
152.49,51.0856,-114.134,1119.3
152.505,51.0856,-114.134,1119.3
152.52,51.0856,-114.134,1119.3
152.535,51.0856,-114.134,1119.3
152.55,51.0856,-114.134,1119.3
152.565,51.0856,-114.134,1119.3
152.58,51.0856,-114.134,1119.3
152.595,51.0856,-114.134,1119.3
152.61,51.0856,-114.134,1119.3
152.625,51.0856,-114.134,1119.3
152.64,51.0856,-114.134,1119.3
152.655,51.0856,-114.134,1119.3
152.67,51.0856,-114.134,1119.3
152.685,51.0856,-114.134,1119.3
152.7,51.0856,-114.134,1119.3
152.715,51.0856,-114.134,1119.3
152.73,51.0856,-114.134,1119.3
152.745,51.0856,-114.134,1119.3
152.76,51.0856,-114.134,1119.3
152.775,51.0856,-114.134,1119.3
152.79,51.0856,-114.134,1119.3
152.805,51.0856,-114.134,1119.3
152.82,51.0856,-114.134,1119.3
152.835,51.0856,-114.134,1119.3
152.85,51.0856,-114.134,1119.3
152.865,51.0856,-114.134,1119.3
152.88,51.0856,-114.134,1119.3
152.895,51.0856,-114.134,1119.3
152.91,51.0856,-114.134,1119.3
152.925,51.0856,-114.134,1119.3
152.94,51.0856,-114.134,1119.3
152.955,51.0856,-114.134,1119.3
152.97,51.0856,-114.134,1119.3
152.985,51.0856,-114.134,1119.3
153,51.0856,-114.134,1119.3
153.015,51.0856,-114.134,1119.3
153.03,51.0856,-114.134,1119.3
153.045,51.0856,-114.134,1119.3
153.06,51.0856,-114.134,1119.3
153.075,51.0856,-114.134,1119.3
153.09,51.0856,-114.134,1119.3
153.105,51.0856,-114.134,1119.3
153.12,51.0856,-114.134,1119.3
153.135,51.0856,-114.134,1119.3
153.15,51.0856,-114.134,1119.3
153.165,51.0856,-114.134,1119.3
153.18,51.0856,-114.134,1119.3
153.195,51.0856,-114.134,1119.3
153.21,51.0856,-114.134,1119.3
153.225,51.0856,-114.134,1119.3
153.24,51.0856,-114.134,1119.3
153.255,51.0856,-114.134,1119.3
153.27,51.0856,-114.134,1119.3
153.285,51.0856,-114.134,1119.3
153.3,51.0856,-114.134,1119.3
153.315,51.0856,-114.134,1119.3
153.33,51.0856,-114.134,1119.3
153.345,51.0856,-114.134,1119.31
153.36,51.0856,-114.134,1119.31
153.375,51.0856,-114.134,1119.31
153.39,51.0856,-114.134,1119.31
153.405,51.0856,-114.134,1119.31
153.42,51.0856,-114.134,1119.31
153.435,51.0856,-114.134,1119.31
153.45,51.0856,-114.134,1119.31
153.465,51.0856,-114.134,1119.31
153.48,51.0856,-114.134,1119.31
153.495,51.0856,-114.134,1119.31
153.51,51.0856,-114.134,1119.31
153.525,51.0856,-114.134,1119.31
153.54,51.0856,-114.134,1119.31
153.555,51.0856,-114.134,1119.31
153.57,51.0856,-114.134,1119.31
153.585,51.0856,-114.134,1119.31
153.6,51.0856,-114.134,1119.31
153.615,51.0856,-114.134,1119.31
153.63,51.0856,-114.134,1119.31
153.645,51.0856,-114.134,1119.31
153.66,51.0856,-114.134,1119.31
153.675,51.0856,-114.134,1119.31
153.69,51.0856,-114.134,1119.31
153.705,51.0856,-114.134,1119.31
153.72,51.0856,-114.134,1119.31
153.735,51.0856,-114.134,1119.31
153.75,51.0856,-114.134,1119.31
153.765,51.0856,-114.134,1119.31
153.78,51.0856,-114.134,1119.31
153.795,51.0856,-114.134,1119.31
153.81,51.0856,-114.134,1119.31
153.825,51.0856,-114.134,1119.31
153.84,51.0857,-114.134,1119.31
153.855,51.0857,-114.134,1119.31
153.87,51.0857,-114.134,1119.31
153.885,51.0857,-114.134,1119.31
153.9,51.0857,-114.134,1119.31
153.915,51.0857,-114.134,1119.31
153.93,51.0857,-114.134,1119.31
153.945,51.0857,-114.134,1119.31
153.96,51.0857,-114.134,1119.31
153.975,51.0857,-114.134,1119.31
153.99,51.0857,-114.134,1119.31
154.005,51.0857,-114.134,1119.31
154.02,51.0857,-114.134,1119.31
154.035,51.0857,-114.134,1119.31
154.05,51.0857,-114.134,1119.31
154.065,51.0857,-114.134,1119.31
154.08,51.0857,-114.134,1119.31
154.095,51.0857,-114.134,1119.31
154.11,51.0857,-114.134,1119.31
154.125,51.0857,-114.134,1119.31
154.14,51.0857,-114.134,1119.31
154.155,51.0857,-114.134,1119.31
154.17,51.0857,-114.134,1119.31
154.185,51.0857,-114.134,1119.31
154.2,51.0857,-114.134,1119.31
154.215,51.0857,-114.134,1119.32
154.23,51.0857,-114.134,1119.32
154.245,51.0857,-114.134,1119.32
154.26,51.0857,-114.134,1119.32
154.275,51.0857,-114.134,1119.32
154.29,51.0857,-114.134,1119.32
154.305,51.0857,-114.134,1119.32
154.32,51.0857,-114.134,1119.32
154.335,51.0857,-114.134,1119.32
154.35,51.0857,-114.134,1119.32
154.365,51.0857,-114.134,1119.32
154.38,51.0857,-114.134,1119.32
154.395,51.0857,-114.134,1119.32
154.41,51.0857,-114.134,1119.32
154.425,51.0857,-114.134,1119.32
154.44,51.0857,-114.134,1119.32
154.455,51.0857,-114.134,1119.32
154.47,51.0857,-114.134,1119.32
154.485,51.0857,-114.134,1119.32
154.5,51.0857,-114.134,1119.32
154.515,51.0857,-114.134,1119.32
154.53,51.0857,-114.134,1119.32
154.545,51.0857,-114.134,1119.32
154.56,51.0857,-114.134,1119.32
154.575,51.0857,-114.134,1119.32
154.59,51.0857,-114.134,1119.32
154.605,51.0857,-114.134,1119.32
154.62,51.0857,-114.134,1119.32
154.635,51.0857,-114.134,1119.32
154.65,51.0857,-114.134,1119.32
154.665,51.0857,-114.134,1119.32
154.68,51.0857,-114.134,1119.32
154.695,51.0857,-114.134,1119.32
154.71,51.0857,-114.134,1119.32
154.725,51.0857,-114.134,1119.32
154.74,51.0857,-114.134,1119.32
154.755,51.0857,-114.134,1119.32
154.77,51.0857,-114.134,1119.32
154.785,51.0857,-114.134,1119.32
154.8,51.0857,-114.134,1119.32
154.815,51.0857,-114.134,1119.32
154.83,51.0857,-114.134,1119.32
154.845,51.0857,-114.134,1119.32
154.86,51.0857,-114.134,1119.32
154.875,51.0857,-114.134,1119.32
154.89,51.0857,-114.134,1119.32
154.905,51.0857,-114.134,1119.32
154.92,51.0857,-114.134,1119.32
154.935,51.0857,-114.134,1119.32
154.95,51.0857,-114.134,1119.32
154.965,51.0857,-114.134,1119.32
154.98,51.0857,-114.134,1119.32
154.995,51.0857,-114.134,1119.32
155.01,51.0857,-114.134,1119.32
155.025,51.0857,-114.134,1119.32
155.04,51.0857,-114.134,1119.32
155.055,51.0857,-114.134,1119.32
155.07,51.0857,-114.134,1119.33
155.085,51.0857,-114.134,1119.33
155.1,51.0857,-114.134,1119.33
155.115,51.0857,-114.134,1119.33
155.13,51.0857,-114.134,1119.33
155.145,51.0857,-114.134,1119.33
155.16,51.0857,-114.134,1119.33
155.175,51.0858,-114.134,1119.33
155.19,51.0858,-114.134,1119.33
155.205,51.0858,-114.134,1119.33
155.22,51.0858,-114.134,1119.33
155.235,51.0858,-114.134,1119.33
155.25,51.0858,-114.134,1119.33
155.265,51.0858,-114.134,1119.33
155.28,51.0858,-114.134,1119.33
155.295,51.0858,-114.134,1119.33
155.31,51.0858,-114.134,1119.33
155.325,51.0858,-114.134,1119.33
155.34,51.0858,-114.134,1119.33
155.355,51.0858,-114.134,1119.33
155.37,51.0858,-114.134,1119.33
155.385,51.0858,-114.134,1119.33
155.4,51.0858,-114.134,1119.33
155.415,51.0858,-114.134,1119.33
155.43,51.0858,-114.134,1119.33
155.445,51.0858,-114.134,1119.33
155.46,51.0858,-114.134,1119.33
155.475,51.0858,-114.134,1119.33
155.49,51.0858,-114.134,1119.33
155.505,51.0858,-114.134,1119.33
155.52,51.0858,-114.134,1119.33
155.535,51.0858,-114.134,1119.33
155.55,51.0858,-114.134,1119.33
155.565,51.0858,-114.134,1119.33
155.58,51.0858,-114.134,1119.33
155.595,51.0858,-114.134,1119.33
155.61,51.0858,-114.134,1119.33
155.625,51.0858,-114.134,1119.33
155.64,51.0858,-114.134,1119.33
155.655,51.0858,-114.134,1119.33
155.67,51.0858,-114.134,1119.33
155.685,51.0858,-114.134,1119.33
155.7,51.0858,-114.134,1119.33
155.715,51.0858,-114.134,1119.33
155.73,51.0858,-114.134,1119.33
155.745,51.0858,-114.134,1119.33
155.76,51.0858,-114.134,1119.33
155.775,51.0858,-114.134,1119.33
155.79,51.0858,-114.134,1119.33
155.805,51.0858,-114.134,1119.33
155.82,51.0858,-114.134,1119.33
155.835,51.0858,-114.134,1119.33
155.85,51.0858,-114.134,1119.33
155.865,51.0858,-114.134,1119.33
155.88,51.0858,-114.134,1119.33
155.895,51.0858,-114.134,1119.33
155.91,51.0858,-114.134,1119.34
155.925,51.0858,-114.134,1119.34
155.94,51.0858,-114.134,1119.34
155.955,51.0858,-114.134,1119.34
155.97,51.0858,-114.134,1119.34
155.985,51.0858,-114.134,1119.34
156,51.0858,-114.134,1119.34
156.015,51.0858,-114.134,1119.34
156.03,51.0858,-114.134,1119.34
156.045,51.0858,-114.134,1119.34
156.06,51.0858,-114.134,1119.34
156.075,51.0858,-114.134,1119.34
